,sentence,position,gold,syntactic_role,number
72,"The seller thanked the choir, and they left.",subordinate,"the choir,they",obj_subj,collective
73,The seller thanked the choir. They left.,independent,"the choir,They",obj_subj,collective
74,"The seller thanked them, and the choir left.",cataphora,"them,the choir",obj_subj,collective
75,"The seller thanked the choir, and they departed.",subordinate,"the choir,they",obj_subj,collective
76,The seller thanked the choir. They departed.,independent,"the choir,They",obj_subj,collective
77,"The seller thanked them, and the choir departed.",cataphora,"them,the choir",obj_subj,collective
78,"The seller called the choir, and they came.",subordinate,"the choir,they",obj_subj,collective
79,The seller called the choir. They came.,independent,"the choir,They",obj_subj,collective
80,"The seller called them, and the choir came.",cataphora,"them,the choir",obj_subj,collective
81,"The singer told the council, and they listened.",subordinate,"the council,they",obj_subj,collective
82,The singer told the council. They listened.,independent,"the council,They",obj_subj,collective
83,"The singer told them, and the council listened.",cataphora,"them,the council",obj_subj,collective
84,"The singer approached the council, and they agreed.",subordinate,"the council,they",obj_subj,collective
85,The singer approached the council. They agreed.,independent,"the council,They",obj_subj,collective
86,"The singer approached them, and the council agreed.",cataphora,"them,the council",obj_subj,collective
87,"The singer called the council, and they agreed.",subordinate,"the council,they",obj_subj,collective
88,The singer called the council. They agreed.,independent,"the council,They",obj_subj,collective
89,"The singer called them, and the council agreed.",cataphora,"them,the council",obj_subj,collective
90,"The doctor told the jury, and they agreed.",subordinate,"the jury,they",obj_subj,collective
91,The doctor told the jury. They agreed.,independent,"the jury,They",obj_subj,collective
92,"The doctor told them, and the jury agreed.",cataphora,"them,the jury",obj_subj,collective
93,"The doctor told the jury, and they listened.",subordinate,"the jury,they",obj_subj,collective
94,The doctor told the jury. They listened.,independent,"the jury,They",obj_subj,collective
95,"The doctor told them, and the jury listened.",cataphora,"them,the jury",obj_subj,collective
96,"The doctor told the jury, and they believed.",subordinate,"the jury,they",obj_subj,collective
97,The doctor told the jury. They believed.,independent,"the jury,They",obj_subj,collective
98,"The doctor told them, and the jury believed.",cataphora,"them,the jury",obj_subj,collective
99,"The model inspires the staff, and they follow.",subordinate,"the staff,they",obj_subj,collective
100,The model inspires the staff. They follow.,independent,"the staff,They",obj_subj,collective
101,"The model inspires them, and the staff follow.",cataphora,"them,the staff",obj_subj,collective
102,"The model needed the staff, and they delivered.",subordinate,"the staff,they",obj_subj,collective
103,The model needed the staff. They delivered.,independent,"the staff,They",obj_subj,collective
104,"The model needed them, and the staff delivered.",cataphora,"them,the staff",obj_subj,collective
105,"The model suits the staff, and they agree.",subordinate,"the staff,they",obj_subj,collective
106,The model suits the staff. They agree.,independent,"the staff,They",obj_subj,collective
107,"The model suits them, and the staff agree.",cataphora,"them,the staff",obj_subj,collective
108,"The artist meets the youth, and they bond.",subordinate,"the youth,they",obj_subj,collective
109,The artist meets the youth. They bond.,independent,"the youth,They",obj_subj,collective
110,"The artist meets them, and the youth bond.",cataphora,"them,the youth",obj_subj,collective
111,"The artist meets the youth, and they connect.",subordinate,"the youth,they",obj_subj,collective
112,The artist meets the youth. They connect.,independent,"the youth,They",obj_subj,collective
113,"The artist meets them, and the youth connect.",cataphora,"them,the youth",obj_subj,collective
114,"The artist meets the youth, and they meet.",subordinate,"the youth,they",obj_subj,collective
115,The artist meets the youth. They meet.,independent,"the youth,They",obj_subj,collective
116,"The artist meets them, and the youth meet.",cataphora,"them,the youth",obj_subj,collective
117,"The owner sued the band, and they won.",subordinate,"the band,they",obj_subj,collective
118,The owner sued the band. They won.,independent,"the band,They",obj_subj,collective
119,"The owner sued them, and the band won.",cataphora,"them,the band",obj_subj,collective
120,"The owner sued the band, and they settled.",subordinate,"the band,they",obj_subj,collective
121,The owner sued the band. They settled.,independent,"the band,They",obj_subj,collective
122,"The owner sued them, and the band settled.",cataphora,"them,the band",obj_subj,collective
123,"The owner sued the band, and they lost.",subordinate,"the band,they",obj_subj,collective
124,The owner sued the band. They lost.,independent,"the band,They",obj_subj,collective
125,"The owner sued them, and the band lost.",cataphora,"them,the band",obj_subj,collective
126,"The parent addressed the crowd, and they applauded.",subordinate,"the crowd,they",obj_subj,collective
127,The parent addressed the crowd. They applauded.,independent,"the crowd,They",obj_subj,collective
128,"The parent addressed them, and the crowd applauded.",cataphora,"them,the crowd",obj_subj,collective
129,"The parent addresses the crowd, and they applaud.",subordinate,"the crowd,they",obj_subj,collective
130,The parent addresses the crowd. They applaud.,independent,"the crowd,They",obj_subj,collective
131,"The parent addresses them, and the crowd applaud.",cataphora,"them,the crowd",obj_subj,collective
132,"The parent addresses the crowd, and they cheer.",subordinate,"the crowd,they",obj_subj,collective
133,The parent addresses the crowd. They cheer.,independent,"the crowd,They",obj_subj,collective
134,"The parent addresses them, and the crowd cheer.",cataphora,"them,the crowd",obj_subj,collective
135,"The athlete met the crew, and they bonded.",subordinate,"the crew,they",obj_subj,collective
136,The athlete met the crew. They bonded.,independent,"the crew,They",obj_subj,collective
137,"The athlete met them, and the crew bonded.",cataphora,"them,the crew",obj_subj,collective
138,"The athlete meets the crew, and they bond.",subordinate,"the crew,they",obj_subj,collective
139,The athlete meets the crew. They bond.,independent,"the crew,They",obj_subj,collective
140,"The athlete meets them, and the crew bond.",cataphora,"them,the crew",obj_subj,collective
141,"The athlete alerted the crew, and they responded.",subordinate,"the crew,they",obj_subj,collective
142,The athlete alerted the crew. They responded.,independent,"the crew,They",obj_subj,collective
143,"The athlete alerted them, and the crew responded.",cataphora,"them,the crew",obj_subj,collective
144,"The actress tells the gang, and they agree.",subordinate,"the gang,they",obj_subj,collective
145,The actress tells the gang. They agree.,independent,"the gang,They",obj_subj,collective
146,"The actress tells them, and the gang agree.",cataphora,"them,the gang",obj_subj,collective
147,"The actress meets the gang, and they bond.",subordinate,"the gang,they",obj_subj,collective
148,The actress meets the gang. They bond.,independent,"the gang,They",obj_subj,collective
149,"The actress meets them, and the gang bond.",cataphora,"them,the gang",obj_subj,collective
150,"The actress confronts the gang, and they apologize.",subordinate,"the gang,they",obj_subj,collective
151,The actress confronts the gang. They apologize.,independent,"the gang,They",obj_subj,collective
152,"The actress confronts them, and the gang apologize.",cataphora,"them,the gang",obj_subj,collective
153,"The member joins the duo, and they bond.",subordinate,"the duo,they",obj_subj,collective
154,The member joins the duo. They bond.,independent,"the duo,They",obj_subj,collective
155,"The member joins them, and the duo bond.",cataphora,"them,the duo",obj_subj,collective
156,"The member joined the duo, and they bonded.",subordinate,"the duo,they",obj_subj,collective
157,The member joined the duo. They bonded.,independent,"the duo,They",obj_subj,collective
158,"The member joined them, and the duo bonded.",cataphora,"them,the duo",obj_subj,collective
159,"The member introduced the duo, and they agreed.",subordinate,"the duo,they",obj_subj,collective
160,The member introduced the duo. They agreed.,independent,"the duo,They",obj_subj,collective
161,"The member introduced them, and the duo agreed.",cataphora,"them,the duo",obj_subj,collective
162,"The soldier arrested the mob, and they fled.",subordinate,"the mob,they",obj_subj,collective
163,The soldier arrested the mob. They fled.,independent,"the mob,They",obj_subj,collective
164,"The soldier arrested them, and the mob fled.",cataphora,"them,the mob",obj_subj,collective
165,"The soldier confronted the mob, and they fled.",subordinate,"the mob,they",obj_subj,collective
166,The soldier confronted the mob. They fled.,independent,"the mob,They",obj_subj,collective
167,"The soldier confronted them, and the mob fled.",cataphora,"them,the mob",obj_subj,collective
168,"The soldier stopped the mob, and they fled.",subordinate,"the mob,they",obj_subj,collective
169,The soldier stopped the mob. They fled.,independent,"the mob,They",obj_subj,collective
170,"The soldier stopped them, and the mob fled.",cataphora,"them,the mob",obj_subj,collective
171,"The protester confronted the troupe, and they left.",subordinate,"the troupe,they",obj_subj,collective
172,The protester confronted the troupe. They left.,independent,"the troupe,They",obj_subj,collective
173,"The protester confronted them, and the troupe left.",cataphora,"them,the troupe",obj_subj,collective
174,"The protester stops the troupe, and they leave.",subordinate,"the troupe,they",obj_subj,collective
175,The protester stops the troupe. They leave.,independent,"the troupe,They",obj_subj,collective
176,"The protester stops them, and the troupe leave.",cataphora,"them,the troupe",obj_subj,collective
177,"The protester confronts the troupe, and they leave.",subordinate,"the troupe,they",obj_subj,collective
178,The protester confronts the troupe. They leave.,independent,"the troupe,They",obj_subj,collective
179,"The protester confronts them, and the troupe leave.",cataphora,"them,the troupe",obj_subj,collective
